3.021,129.966,5.113,4.387,4.387,3.394,2.411,2.411,1.655,1.655,0.94,0.94,0.534,0.534,0,0,0,0,0,5.563,0,18.199,19.056,0,92.063,0.143,-0.78,47.197,4.381,1.783,1.038,43.796,2.083,0.062,2.083,-0.04,1.322,0.04,1.322,-0.062,0,0,36,0,0,0,0,0,0,0,35.895,6.924,0,0,0,0,0,0,6.924,0,35.895,0,0,0,0,13.667
2.083,15.219,3.536,3.237,3.237,2.5,2.077,2.077,1.319,1.319,0.827,0.827,0.51,0.51,0,0,0,0,13.214,12.842,0,0,0,4.737,72.058,1,-0.04,22.886,3.162,1.41,0.618,31.942,4.944,0.381,4.944,0.047,1,0.047,1,-0.381,1,0,30,4.737,0,0,0,0,0,0,0,12.842,13.214,0,4.737,0,0,0,12.842,13.214,0,0,9.23,0,0,9.5
1,2,2,1.447,1.447,1,0.447,0.447,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,5.107,32.026,1,-0.04,2,1.96,0.96,-27.04,13.533,7,0.4,7,0.032,1,0.032,1,-0.4,1,1,14,5.107,0,0,0,0,0,0,0,0,7.11,0,5.107,0,0,0,0,7.11,0,0,20.23,0,0,8
2.476,24.265,2.707,1.947,1.947,1.414,0.724,0.724,0.224,0.224,0,0,0,0,0,0,0,0,0,6.924,6.069,0,0,5.262,41.027,0.5,-0.51,2.755,2.49,1.49,1.49,19.497,7.319,0.199,7.319,0.059,1.431,0.059,1.431,-0.199,1,0,16,0,0,0,0,0,5.262,0,0,0,6.924,6.069,0,0,5.262,0,6.924,0,0,6.069,23.79,0,0,10.5
2.339,12,4.828,4.828,4.828,2.914,2.914,2.914,1.707,1.707,0.957,0.957,0.5,0.5,0,0,0,0,0,25.683,0,0,13.847,0,86.11,1,0,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,0,0,38,0,0,0,0,0,0,0,39.531,0,0,0,0,0,0,0,39.531,0,0,0,0,0,0,10
0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,5.476,0,0,0,0,0,0,0,18.011,0,-0.04,0,0.96,-27.04,-104.04,6.849,0,0.412,0,-0.412,0,0.412,0,-0.412,0,0,8,5.476,0,0,0,0,0,0,0,0,0,0,5.476,0,0,0,0,0,0,0,31.5,0,0,0
1.633,2.755,2.707,2.154,2.154,1.414,1.023,1.023,0.316,0.316,0,0,0,0,0,0,6.607,0,0,0,6.924,0,0,5.107,46.042,1,-0.04,2.755,2.96,1.96,1.96,19.898,7.569,0.397,7.569,0.04,0.25,0.04,0.25,-0.397,1,1,20,5.107,0,0,0,0,0,0,0,6.924,6.607,0,5.107,0,0,0,6.924,6.607,0,0,20.23,0,0,9.5
2.831,49.51,4.992,4.024,4.024,2.77,1.904,1.904,0.925,0.925,0.348,0.348,0.203,0.203,0,4.795,5.969,6.607,0,6.924,6.924,0,4.737,0,88.052,0.75,-0.53,14.834,5.47,2.694,3.47,37.109,9.822,0.466,9.822,0.302,0.211,0.302,-0.211,-0.466,2,0,36,4.737,0,0,5.969,4.795,0,0,0,6.924,6.924,6.607,9.531,5.969,0,0,13.847,6.607,0,0,26.3,0,0,17.667
2.803,29.02,3.577,2.816,3.633,1.732,0.983,2.949,0.742,2.225,0,0,0,0,10.8,4.209,0,0,0,0,12.512,0,0,0,78.014,1,0.15,3.245,4.15,1.467,126.372,28.478,9.556,0.26,9.556,0.015,0.611,0.015,-0.611,-0.26,1,0,26,0,0,0,0,4.209,0,0,0,0,23.311,0,4.209,10.8,0,0,0,12.512,0,0,17.07,-0.611,9.556,3.278
2.826,33.874,4.284,3.433,3.433,2.27,1.388,1.388,1.069,1.069,0.211,0.211,0,0,0,4.795,0,0,6.41,4.9,14.095,0,0,0,73.053,0.667,-0.53,9.651,4.47,1.758,3.47,31.39,9.431,0.351,9.431,0.209,0.75,0.209,0.75,-0.351,1,0,30,4.9,0,6.41,0,4.795,0,0,0,0,14.095,0,4.795,6.41,0,4.9,0,14.095,0,0,20.31,0,0,15
2.324,8,3.577,1.711,3.979,1.732,0.655,1.964,0.247,2.227,0,0,0,0,4.295,0,0,0,0,0,0,0,0,34.803,117.914,1,0.87,3.245,4.87,2.128,13.259,39.649,4.806,0.18,4.806,0.18,0.75,0.087,-0.75,-0.087,0,0,26,0,4.295,0,0,0,0,0,34.803,0,0,0,0,34.803,0,0,4.295,0,0,0,0,14.417,-0.75,0
1.633,2.755,2.707,1.463,2.975,1.414,0.535,1.604,0.101,0.909,0,0,0,0,0,0,5.339,0,0,0,0,0,0,23.202,83.953,1,0.58,2.755,3.58,2.58,2.58,29.346,4.764,0.109,4.764,0.097,0.194,0.097,0.194,-0.109,0,0,20,0,0,0,0,0,0,23.202,0,0,0,5.339,0,23.202,0,0,0,5.339,0,0,0,9.528,0,0.194
