smile,activity
CC(C1=C2C=C(N(C)C)C=CC2=CC3=C1CCC3)=O,0.375
CC(C1=C2C=CC(N(C)C)=CC2=CC3=C1CCC3)=O,0.37
CC(C1=C2C=CC=C(N(C)C)C2=CC3=C1CCC3)=O,0.316
OC1=COC2=CC(C3=CC=C(N(C)C)C=C3)=CC=C2C1=O,0.366
O=C1C(OC)=COC2=CC(C3=CC=C(N(C)C)C=C3)=CC=C21,0.363
O=C1C(OC)=C(C2=CC=C(N(CC)CC)C=C2)OC3=CC=CC=C31,0.389
O=C1C(OC)=C(C(O2)=CC3=C2C=C(N(CC)CC)C=C3)OC4=CC=CC=C41,0.433
O=C1C(OC)=C(C2=CC(C3(C)C)=C(C=C2)C4=C3C=C(N(CC)CC)C=C4)OC5=CC=CC=C51,0.406
CN(C1=CC=C2C=C(C(CC)=O)C=CC2=C1)C,0.35
O=C1NC(C2=CC(N)=CC=C21)=O,0.357
O=C1NC(C2=CC(N(C)C)=CC=C21)=O,0.388
CN(C)C1=CC=C2C(C=C(C(N(CC(OC)=O)C3=O)=O)C3=C2)=C1,0.38
CCCCCCN(C1=CC2=C(C=C3C=C(C#N)C=CC3=C2)C=C1)CCCCCC,0.46
CCCCCCN(C1=CC=C2C=C3C=C(C(CC)=O)C=CC3=CC2=C1)CCCCCC,0.455
CCN(CC)C(C=C1)=CC2=C1C(C=CC(C=O)=C3)=C3C2(C)C,0.394
CCN(CC)C(C=C1)=CC2=C1C(C=CC(C(CCCCCCCC)=O)=C3)=C3C2(C)C,0.38
F[B-]1(F)N2C=CC=CC2=NC2=[N+]1C=CC=C2,0.3934
O=C1N(C2=C(C)C=CC=C2C)C(C3=CC(C4=C(N5)C=C(OC)C=C4)=C5C6=C3C1=CC=C6)=O,0.409
O=C1N(C2=C(C)C=CC=C2C)C(C3=CC(C4=C(O5)C=C(OC)C=C4)=C5C6=C3C1=CC=C6)=O,0.359
C1(/C=C/C=C/C2=CC=CC=C2)=CC=CC=C1,0.347
CN(C)C(S1)=NC(C2=CC=C(Br)C=C2)=C1C3=CC=C([N+]([O-])=O)S3,0.436
CN(C)C(S1)=NC(C2=CC=C(C)C=C2)=C1C3=CC=C([N+]([O-])=O)S3,0.443
CCN(CC)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)S3,0.446
O=[N+](C1=CC=C(C2=C(N=C(N(CC)CC)S2)C3=CC=C(Br)C=C3)S1)[O-],0.446
CC(C=C1)=CC=C1C(N=C(N(CC)CC)S2)=C2C3=CC=C([N+]([O-])=O)S3,0.452
O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCCCC4)S2)S1)[O-],0.445
CC(C=C1)=CC=C1C(N=C(N2CCCCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,0.45
O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCOCC4)S2)S1)[O-],0.433
BrC(C=C1)=CC=C1C(N=C(N2CCOCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,0.432
CC(C=C1)=CC=C1C(N=C(N2CCOCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,0.434
O=[N+](C1=CC=C(C2=C(C3=CC=CO3)N=C(N4CCOCC4)S2)S1)[O-],0.435
O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],0.439
BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0.439
CC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0.446
O=[N+](C1=CC=C(C2=C(C3=CC=CS3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],0.451
O=[N+](C1=CC=C(C2=C(C3=CC=CO3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],0.446
O=[N+](C1=CC=C(C2=C(C3=CC=C(C4=CC=CC=C4)C=C3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],0.447
O=[N+](C1=CC=C(C2=C(C3=CC4=C(C=CC=C4)C=C3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],0.433
O=[N+](C1=CC=C(C2=C(C3=CC4=C(C=CC=C4)O3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],0.448
CN(C)C1=CC=C(C=C1)C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,0.47
O=[N+](C1=CC=C(C2=C(C(C3=CC=CC=C3)C4=CC=CC=C4)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],0.433
CN(C)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)O3,0.425
CCN(CC)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)O3,0.431
O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCCCC4)S2)O1)[O-],0.429
O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCOCC4)S2)O1)[O-],0.424
O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)O1)[O-],0.426
O=CC1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1,0.401
N#C/C(C#N)=C/C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1,0.497
O=C(N(CC)C(N1CC)=S)/C(C1=O)=C\C2=CC=C(C3=C(C4=CC=CC=C4)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S3)S2,0.554
CN(C)C1=CC=C2C(C=C(C=CC(C(CCCCCCCC)=O)=C3)C3=C2)=C1,0.428
CCCCN1C2=C(C=C(C3=CC=C(C=O)C=C3)C=C2)C4=C1C=CC(C5=CC=C(C=O)C=C5)=C4,0.35
CCCCN(C1=C(C2(C)C)C=C(C3=CC=C(C=O)C=C3)C=C1)C4=C2C=C(C5=CC=C(C=O)C=C5)C=C4,0.383
CCCCN(C1=C(O2)C=C(C3=CC=C(C=O)C=C3)C=C1)C4=C2C=C(C5=CC=C(C=O)C=C5)C=C4,0.414
CCCCN(C1=C(S2)C=C(C3=CC=C(C=O)C=C3)C=C1)C4=C2C=C(C5=CC=C(C=O)C=C5)C=C4,0.358
O=C(OCC)C1=CC(N2CCC2)=C(C(OCC)=O)C=C1N3CCC3,0.41
O=[N+](C1=CC=C(/C=C/N(C2=CC=CC=C2)C3=CC=CC=C3)C=C1)[O-],0.404
O=[N+](C(C=C1)=CC=C1/C=C/C(S2)=CC=C2C3=CC4=CC=CC=C4S3)[O-],0.413
N#C/C(C#N)=C/C(C=C1)=CC=C1/C=C/C(S2)=CC=C2C3=CC4=CC=CC=C4S3,0.422
O=[N+](C(C=C1C#N)=CC=C1/C=C/C(S2)=CC=C2C3=CC4=CC=CC=C4S3)[O-],0.331
C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(N4)C(C=C5B4C6=C(C=CC(N(C7=CC=CC=C7)C8=CC=CC=C8)=C6)C(C9=CC=CC=C9)=C5C%10=CC=CC=C%10)=C1,0.443
O=C(C1=CC(C#CC2=CC=CC=C2)=C(C(OCC)=O)C=C1C#CC3=CC=C(C=CC=C4)C4=C3)OCC,0.365
O=C(C1=CC(C#CC2=CC=CC=C2)=C(C(OCC)=O)C=C1C#CC3=CC=C(C=C(N4CCC4)C=C5)C5=C3)OCC,0.398
O=C(C1=CC(C#CC2=CC=C([N+]([O-])=O)C=C2)=C(C(OCC)=O)C=C1C#CC3=CC=C(C=C(N4CCC4)C=C5)C5=C3)OCC,0.418
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=CC=C1,0.37
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=CC=CC(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)=C1,0.375
C1(/C=C/C2=C(C=CC3=C4C(C=C5)=CC=C3)C4=C5C=C2)=CC=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=C1,0.402
C1(/C=C\C2=CC=C(C=C3)C4=C2C=CC5=CC=CC3=C45)=CC=C(/C=C/C6=C(C=CC=C7)C7=CC8=C6C=CC=C8)C=C1,0.385
NC1=CC=C(C2=CC=C(N)C=C2)C=C1,0.279
NC1=CC=C(C2=CC=C([N+]#[C-])C=C2)C=C1,0.301
CNC1=CC=C(C2=CC=C([N+]#[C-])C=C2)C=C1,0.313
CN(C)C1=CC=C(C2=CC=C([N+]#[C-])C=C2)C=C1,0.323
O=C1C2=CC=CC=C2C3=NC4=C(C=C(N(CC)CC)C=C4)OC3=C1,0.508
O=CC1=CC(N2CCCCC2)=C(C=C3)C4=C1C=CC5=C4C3=C(N6CCCCC6)C=C5N7CCCCC7,0.466
O=CC1=CC(C=O)=C(C=C2)C3=C1C=CC4=C3C2=C(N5CCCCC5)C=C4N6CCCCC6,0.498
O=CC1=CC(N2CCCCC2)=C3C4=C1C=CC5=C4C(C=C3)=C(C=O)C=C5N6CCCCC6,0.478
O=CC1=CC(N2CCCCC2)=C(C=C3)C4=C1C=CC5=C4C3=C(N6CCCCC6)C=C5C=O,0.466
O=CC1=CC(C=O)=C(C=C2)C3=C1C=CC4=C3C2=C(N5CCCCC5)C=C4C=O,0.478
O=C1N2C3=CC(N(CC)CC)=CC=C3C=C2C=C(C4=CC=C([N+]([O-])=O)C=C4)N1CCCC(OCC5=CC=CC=C5)=O,0.456
O=C1N2C3=CC(N(CC)CC)=CC=C3C=C2C=C(C4=CC=C(C(F)(F)F)C=C4)N1CCCC(OCC5=CC=CC=C5)=O,0.396
O=C(NCCCC)C1=CC=C(C=C2)C3=C1C=CC4=C3C2=C(N5CCCCC5)C=C4,0.371
O=C(N(CC)CC)C1=CC=C(C=C2)C3=C1C=CC4=C3C2=C(N5CCCCC5)C=C4,0.359
O=C(C1=CC=C(C2=C1C=CC3=C24)C=CC4=C(C=C3)N5CCCCC5)NCCCC(O)=O,0.371
O=CC(C1=C2C=CC=C1)=CC=C2C3=C4C=CC=CC4=C(N5CCCCC5)C=C3,0.33
CN(C)C1=CC2=C(C(C=CC(C=O)=C3)=C3C2(C)C)C=C1,0.39
CN(C)C1=CC(CC2)=C(C3=C2C=C(C=O)C=C3)C=C1,0.387
CN(C)C1=CC=C(C2=CC=C(C=O)C=C2)C=C1,0.368
CN(C)C1=CC(C)=C(C2=CC=C(C=O)C=C2)C=C1,0.356
CN(C)C1=CC=C(C2=C(C)C=C(C=O)C=C2)C=C1,0.35
CN(C)C1=CC(C)=C(C2=CC=C(C=O)C=C2C)C=C1,0.339
CN(C)C1=CC(C)=C(C2=CC=C(C=O)C=C2)C(C)=C1,0.344
CN(C)C1=CC=C(C2=C(C)C=C(C=O)C=C2C)C=C1,0.338
CCCCCCCCC1(CCCCCCCC)C2=CC(/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2C6=C1C=C(C=O)C=C6,0.405
CCCCCCCCC1(CCCCCCCC)C2=CC(C#CC3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2C6=C1C=C(C=O)C=C6,0.384
CCCCCCCCC1(CCCCCCCC)C2=CC(C#CC#CC3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)=CC=C2C6=C1C=C(C=O)C=C6,0.378
O=CC1=C(C2=C34)C=CC4=CC=CC3=CC=C2C=C1,0.387
O=CC1=C(C=C2)C3=C4C2=CC=C(CCCC)C4=CC=C3C=C1,0.393
O=CC1=C(C=C2)C3=C4C2=C(CCCC)C=CC4=CC=C3C(CCCC)=C1,0.404
O=CC1=C(C=C2)C3=C4C2=C(CCCC)C=C(CCCC)C4=CC=C3C(CCCC)=C1,0.411
CCCCC1=CC(N2CCCCC2)=C3C4=C1C=CC5=C4C(C=C3)=C(CCCC)C=C5C=O,0.425
CCCCC1=CC(N2CCCCC2)=C3C4=C1C=CC5=C4C(C=C3)=C(CCCC)C=C5C(CCC)=O,0.4
NC1=C2C(C([N+]#[C-])=CC=C2)=CC=C1,0.35
CCCCCC1=C(C2=CC3=C(N2C4=NC5=C(C=C41)C=CC=C5)C=CC=C3)CCCCC,0.455
CCCCCCCCC1(CCCCCCCC)C(C=CC=C2)=C2C(C=C3)=C1C=C3C#CC4=CC=C(C(C=CC(C#CC5=CC=C(C6=CC=CC=C6C7(CCCCCCCC)CCCCCCCC)C7=C5)=C8)=C8C9)C9=C4,0.369
CCCCCCCCC1(CCCCCCCC)C(C=CC=C2)=C2C(C=C3)=C1C=C3C#CC4=CC=C(C(C=CC(C#CC5=CC=C(C6=CC=CC=C6C7(CCCCCCCC)CCCCCCCC)C7=C5)=C8)=C8C9=O)C9=C4,0.366
CCCCCCCCC1(CCCCCCCC)C(C=CC=C2)=C2C(C=C3)=C1C=C3C#CC4=CC=C(C#CC5=CC=C(C6=CC=CC=C6C7(CCCCCCCC)CCCCCCCC)C7=C5)C8=NSN=C48,0.441
O=C1C(OC)=C(C2=CC=C(N(CC)CC)C=C2)OC3=CC=CC=C31,0.371
O=C1C(OC)=C(C(O2)=CC3=C2C=C(N(CC)CC)C=C3)OC4=CC=CC=C41,0.404
O=C1C(OC)=C(C2=CC(C3(C)C)=C(C=C2)C4=C3C=C(N(CC)CC)C=C4)OC5=CC=CC=C51,0.393
CCCCCCN(C1=CC2=C(C=C3C=C(C#N)C=CC3=C2)C=C1)CCCCCC,0.445
CCCCCCN(C1=CC=C2C=C3C=C(C(CC)=O)C=CC3=CC2=C1)CCCCCC,0.439
F[B-]1(F)N2C=CC=CC2=NC2=[N+]1C=CC=C2,0.3968
OC1=COC2=CC(C3=CC=C(N(C)C)C=C3)=CC=C2C1=O,0.357
O=C1C(OC)=COC2=CC(C3=CC=C(N(C)C)C=C3)=CC=C21,0.348
CN(C)C1=CC=C(C(C2=C(C)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,0.703
CN(C)C1=CC=C(C(C2=C(CC)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,0.703
CN(C)C1=CC=C(C(C2=C(C(F)(F)F)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,0.713
CN(C)C1=CC=C(C(C2=C(OC)C=CC=C2)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,0.706
CN(C)C1=CC=C(C(C2=C(OC)C=CC=C2OC)=C(C=C/3)C(P4(C5=CC=CC=C5)=O)=CC3=[N+]6CCCC\6)C4=C1,0.706
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=CC=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,0.698
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(OC)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,0.701
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(OC)C=CC=C3OC)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,0.703
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(CC)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,0.699
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=CC=C3C)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,0.7
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=C(C)C=C3C)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,0.7
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C(C)(C)C)=O,0.693
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(OC)C=CC=C3OC)C4=CC=C(N(C)C)C=C4P2(C(C)(C)C)=O,0.697
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,0.699
O=P(C1=CC(N2CCC2)=CC=C1C(C3=C(C)C=CC=C3)=C4C=C/5)(C6=CC=CC=C6)C4=CC5=[N+]7CCC\7,0.699
O=P(C1=CC(N2CCCC2)=CC=C1C(C3=C(C)C=CC=C3)=C4C=C/5)(C6=CC=CC=C6)C4=CC5=[N+]7CCCC\7,0.708
C/[N+](C)=C1C=CC(C2=C\1)=C(C3=C(C(F)(F)F)C=CC=C3)C4=CC=C(N(C)C)C=C4P2(C5=CC=CC=C5)=O,0.709
O=P(C1=CC(N2CCC2)=CC=C1C(C3=C(C(F)(F)F)C=CC=C3)=C4C=C/5)(C6=CC=CC=C6)C4=CC5=[N+]7CCC\7,0.71
O=P(C1=CC(N2CCCC2)=CC=C1C(C3=C(C(F)(F)F)C=CC=C3)=C4C=C/5)(C6=CC=CC=C6)C4=CC5=[N+]7CCCC\7,0.718
OC1=C(C2=CC=CC=C2)OC3=CC=CC=C3C1=O,0.346
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC=C3,0.336
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(O)C=C3,0.311
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(OC)C=C3,0.287
O=C1C2=CC(OC)=C(O)C=C2OC=C1C3=CC=C(O)C=C3,0.347
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(OC)C(O)=C3,0.334
O=C1C2=CC(OC)=CC=C2OC=C1C3=CC=CC=C3,0.288
O=C1C2=C(C)C=C(O)C=C2OC=C1C3=CC=C(O)C=C3,0.287
O=C1C2=CC=C(O)C(C)=C2OC=C1C3=CC=C(O)C=C3,0.287
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC(O)=C3,0.287
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC=C3C,0.337
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC(C)=C3,0.336
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(C)C=C3,0.336
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC=C3OC,0.335
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC(OC)=C3,0.337
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC=C3Cl,0.338
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC(Cl)=C3,0.337
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(Cl)C=C3,0.286
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC(Br)=C3,0.337
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(Br)C=C3,0.287
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(F)C=C3,0.287
O=C1C2=CC=C(O)C=C2OC=C1C3=CC=CC4=C3C=CC=C4,0.288
CC1=COC2=CC(O)=CC=C2C1=O,0.334
O=C1C2=CC=C(O)C=C2OC=C1CC,0.334
O=C1C2=CC=C(O)C=C2OC=C1C3CCCCC3,0.334
O=C1C2=CC=C(O)C=C2OC=C1CCCC,0.334
O=C1C2=CC=C(O)C=C2OC=C1CCCCBr,0.336
O=C1C2=CC=C(O)C=C2OC=C1CC3=CC=CC=C3,0.335
O=C1C2=CC=C(O)C=C2OC=C1CCC3=CC=CC=C3,0.332
O=C1C2=CC=C(O)C=C2OC=C1,0.33
O=C1C2=CC=C(O)C=C2OC(C)=C1,0.333
O=C1C2=CC(OC)=C(O)C=C2OC=C1CCCC,0.345
O=C1C2=CC(OC)=C(O)C=C2OC=C1CCCCBr,0.346
O=C1C2=CC(OC)=C(O)C=C2OC=C1CCCCN=[N+]=[N-],0.346
O=C1C2=CC(OC)=C(O)C=C2OC=C1CC3=CC=CC=C3,0.346
O=C1C2=CC(OC)=C(O)C=C2OC=C1CCC3=CC=CC=C3,0.346
O=C1C2=CC(OC)=C(O)C=C2OC=C1C=O,0.353
OC1=C(F)C=C(C(C)=C(CC(ON2C(C=CC2=O)=O)=O)C(O3)=O)C3=C1F,0.362
OC1=C(F)C=C(C(C)=C(C(ON2C(C=CC2=O)=O)=O)C(O3)=O)C3=C1F,0.416
O=C1C(C(O)=O)=CC2=CC=C(N(CC)CC)C=C2O1,0.409
O=C1C(C(O)=O)=CC2=CC=C(OC)C=C2O1,0.336
O=C1C=CC2=C(C3=CC=C(CBr)C=C3C(O)=O)C4=C(C=C(C=C4)O)OC2=C1,0.492
O=C1C=CC2=C(C3=CC=C(NC(CN)=O)C=C3C(O)=O)C4=C(C=C(C=C4)O)OC2=C1,0.491
O=C1C=CC2=C(C3=CC(C(O)=O)=CC=C3C(O)=O)C4=C(C=C(C=C4)O)OC2=C1,0.492
O=C1C=CC2=C(C3=CC(C(ON4C(C=CC4=O)=O)=O)=CC=C3C(O)=O)C5=C(C=C(C=C5)O)OC2=C1,0.496
O=C1C(Cl)=CC2=C(C3=C(Cl)C(C(ON4C(C=CC4=O)=O)=O)=CC(Cl)=C3C(O)=O)C5=C(C(Cl)=C(C(Cl)=C5)O)OC2=C1Cl,0.533
O=C1C(Cl)=CC2=C(C3=C(Cl)C(C(ON4C(C=CC4=O)=O)=O)=CC(Cl)=C3C(O)=O)C5=C(C=C(C(Cl)=C5)O)OC2=C1,0.521
O=C1C=CC2=C(C3=CC=C(NC4=NC(Cl)=NC(Cl)=N4)C=C3C(O)=O)C5=C(C=C(C=C5)O)OC2=C1,0.492
O=C1C(F)=CC2=C(C3=CC=CC=C3C(O)=O)C4=C(C=C(C(F)=C4)O)OC2=C1,0.49
O=C1C(Br)=CC2=C(C3=CC=C(N=C=S)C=C3C(O)=O)C4=C(C(Br)=C(C(Br)=C4)O)OC2=C1Br,0.521
O=C1C=CC2=C(C3=CC=C(N=C=S)C=C3C(O)=O)C4=C(C=C(C=C4)O)OC2=C1,0.494
O=C1C=CC2=C(C3=CC=C(C(CNCCCCCCC(ON4C(C=CC4=O)=O)=O)=O)C=C3C(O)=O)C5=C(C=C(C=C5)O)OC2=C1,0.494
O=C1C=CC2=C(C3=CC=C(NC(CSCCCCCC(ON4C(C=CC4=O)=O)=O)=O)C=C3C(O)=O)C5=C(C=C(C=C5)O)OC2=C1,0.491
S([O-])(=O)(=O)C1=C2OC(=O)C3=C(C2=CC=C1N)C(C(CC(NCCCC(O)=O)=O)S(=O)([O-])=O)CC3,0.353
O=S(C1C=C(S(=O)(=O)[O-])C2=CC=C3C4C(C=CC=1C=42)=C(S(O)(=O)[O-])C=C3OCC(NCCCCCC(O)=O)=O)(=O)[O-],0.4
ClC1C(O)=C(S(=O)(=O)[O-])C=C2C=1OC(=O)C(C(NCCCCCC(O)=O)=O)=C2,0.405
O=S(CCCN1C2C=C3OC(=O)C(C(NCCCCCC(O)=O)=O)=CC3=CC=2C(C)=CC1(C)C)(=O)O,0.444
O=S([O-])(=O)CCCN1C(C)(C)C=C(C)C2=C1C=C1C(=C2)C=C(C(=O)NCCCCCC(=O)O)C(=O)O1,0.444
O=S(CCCN1C2C=C3OC(=O)C(C(NCCCCCC(O)=O)=O)=CC3=CC=2C(=CC1(C)C)CS(=O)([O-])=O)(=O)O,0.442
O=S(CCCN1C2C=C3OC(=O)C(C(NCCCCCC(O)=O)=O)=CC3=CC=2C(=CC1(C)C)CS(=O)([O-])=O)(=O)[O-],0.442
O=S(CCCN1C2C=C3OC(=O)C(C(NCCCCCC(O)=O)=O)=CC3=CC=2C(=CC1(C)C)CS(=O)(O)=O)(=O)O,0.442
OS(CCCNS(=O)(=O)C1=C2[O+]=C3C(=C(C2=CC=C1N)C1C(C(O)=O)=CC(C(O)=O)=CC=1)C=CC(N)=C3S(=O)(=O)O)(=O)=O,0.491
OS(CCCNS(=O)(=O)C1=C2[O+]=C3C(=C(C2=CC=C1N)C1C(C(O)=O)=CC(C(O)=O)=CC=1)C=CC(N)=C3S(=O)(=O)[O-])(=O)=O,0.491
[O-]S(CCCNS(=O)(=O)C1=C2[O+]=C3C(=C(C2=CC=C1N)C1C(C(O)=O)=CC(C(O)=O)=CC=1)C=CC(N)=C3S(=O)(=O)[O-])(=O)=O,0.491
OC1=CC2=[O+]C3=CC(O)=CC=C3C(C3=CC=C(C(=O)NCCCCCC(O)=O)C=C3C(O)=O)=C2C=C1,0.494
O=S(CCCNC1C=C2[O+]=C3C=C(NCCCS(=O)(O)=O)C=CC3=C(C2=CC=1)C1=C(C=CC=C1)C(=O)N(C)CCCC(=O)O)(=O)O,0.533
O=S(CCCNC1C=C2[O+]=C3C=C(NCCCS(=O)(O)=O)C=CC3=C(C2=CC=1)C1=C(C=CC=C1)C(=O)N(C)CCCC(=O)O)(=O)[O-],0.533
O=S(CCCNC1C=C2[O+]=C3C=C(NCCCS(=O)([O-])=O)C=CC3=C(C2=CC=1)C1=C(C=CC=C1)C(=O)N(C)CCCC(=O)O)(=O)[O-],0.533
O=S(CCCNC1C=C2[O+]=C3C(=C(C2=CC=1C)C1=C(C=C(C(Cl)=C1)Cl)C(=O)N(C)CCCC(=O)O)C=C(C)C(NCCCS(=O)(O)=O)=C3)(=O)[O-],0.549
O=S(CCCNC1C=C2[O+]=C3C(=C(C2=CC=1C)C1=C(C=C(C(Cl)=C1)Cl)C(=O)N(C)CCCC(=O)O)C=C(C)C(NCCCS(=O)([O-])=O)=C3)(=O)[O-],0.549
O=S(CCCNC1C=C2[O+]=C3C(=C(C2=CC=1C)C1=C(C=C(C(Cl)=C1)Cl)C(=O)N(C)CCCC(=O)O)C=C(C)C(NCCCS(=O)(O)=O)=C3)(=O)O,0.549
OC(=O)CCCCCN1/C(=C/C=C/C2=[N+](CCOC)C3C(=CC(S([O-])(=O)=O)=CC=3)C2(C)C)/C(C)(C)C2C=C(S(=O)([O-])=O)C=CC=21,0.551
OC(=O)CCCCCN1/C(=C/C=C/C2=[N+](CCOC)C3C(=CC(S([O-])(=O)=O)=CC=3)C2(C)C)/C(C)(C)C2C=C(S(=O)(O)=O)C=CC=21,0.551
OC(=O)CCCCCN1/C(=C/C=C/C2=[N+](CCOC)C3C(=CC(S(O)(=O)=O)=CC=3)C2(C)C)/C(C)(C)C2C=C(S(=O)(O)=O)C=CC=21,0.551
OC(CCCCCN1/C(=C/C=C/C2=[N+](C3C(=CC(S(O)(=O)=O)=CC=3)C2(C)C)CCOC)/C(CCCS(O)(=O)=O)(C2C=C(S(=O)(=O)[O-])C=CC1=2)C)=O,0.554
OC(CCCCCN1/C(=C/C=C/C2=[N+](C3C(=CC(S(O)(=O)=O)=CC=3)C2(C)C)CCOC)/C(CCCS([O-])(=O)=O)(C2C=C(S(=O)(=O)[O-])C=CC1=2)C)=O,0.554
OC(CCCCCN1/C(=C/C=C/C2=[N+](C3C(=CC(S([O-])(=O)=O)=CC=3)C2(C)C)CCOC)/C(CCCS([O-])(=O)=O)(C2C=C(S(=O)(=O)[O-])C=CC1=2)C)=O,0.554
OC(CCCCCN1/C(=C/C=C/C2=[N+](C3C(=CC(S(O)(=O)=O)=CC=3)C2(C)C)CCOC)/C(CCCS(O)(=O)=O)(C2C=C(S(=O)(=O)O)C=CC1=2)C)=O,0.554
